Year,Birth Rate,RevImmigration
1821,50.14457635,99.09246607
1822,49.79212656,98.74234417
1823,49.43967676,98.39222228
1824,49.08722697,98.04210038
1825,48.73477718,97.69197849
1826,48.38232738,97.34185659
1827,48.02987759,96.99173469
1828,47.6774278,96.6416128
1829,47.32497801,96.2914909
1830,46.97252821,95.94136901
1831,46.19849533,95.59124711
1832,45.42446245,95.24112522
1833,44.65042957,94.89100332
1834,43.87639669,94.54088143
1835,43.10236382,94.19075953
1836,42.32833094,93.84063764
1837,41.55429806,93.49051574
1838,40.78026518,93.14039384
1839,40.0062323,92.79027195
1840,39.23219942,92.44015005
1841,38.45816654,92.09002816
1842,37.68413366,91.73990626
1843,36.91010078,91.38978437
1844,36.1360679,91.03966247
1845,35.36203502,90.68954058
1846,34.58800214,90.33941868
1847,33.81396926,89.98929679
1848,33.03993638,89.63917489
1849,32.2659035,89.28905299
1850,31.49187062,88.9389311
1851,31.31224996,88.72958655
1852,31.13262929,88.52024201
1853,30.95300863,88.31089746
1854,30.77338796,88.10155292
1855,30.5937673,87.89220837
1856,30.41414664,87.68286383
1857,30.23452597,87.47351928
1858,30.05490531,87.26417474
1859,29.87528464,87.05483019
1860,29.69566398,86.84548565
1861,29.58014709,86.71709263
1862,29.46463021,86.58869962
1863,29.34911333,86.4603066
1864,29.23359644,86.33191359
1865,29.11807956,86.20352057
1866,29.00256267,86.07512755
1867,28.88704579,85.94673454
1868,28.7715289,85.81834152
1869,28.65601202,85.68994851
1870,28.54049514,85.56155549
1871,28.57341853,85.6735601
1872,28.60634192,85.78556472
1873,28.63926531,85.89756933
1874,28.67218871,86.00957394
1875,28.7051121,86.12157855
1876,28.73803549,86.23358316
1877,28.77095888,86.34558777
1878,28.80388228,86.45759239
1879,28.83680567,86.569597
1880,28.86972906,86.68160161
1881,28.90870392,86.66228207
1882,28.94767878,86.64296253
1883,28.98665364,86.62364298
1884,29.0256285,86.60432344
1885,29.06460336,86.5850039
1886,29.10357822,86.56568435
1887,29.14255308,86.54636481
1888,29.18152794,86.52704527
1889,29.2205028,86.50772573
1890,29.25947766,86.48840618
1891,29.29845252,86.46908664
1892,29.33742738,86.4497671
1893,29.37640224,86.43044756
1894,29.4153771,86.41112801
1895,29.45435196,86.39180847
1896,29.49332682,86.37248893
1897,29.53230168,86.35316939
1898,29.57127654,86.33384984
1899,29.6102514,86.3145303
1900,29.64922626,86.29521076
1901,29.68820112,86.19612863
1902,29.72717598,86.0970465
1903,29.76615084,85.99796437
1904,29.8051257,85.89888225
1905,29.84410056,85.79980012
1906,29.88307542,85.70071799
1907,29.92205028,85.60163586
1908,29.96102514,85.50255373
1909,30,85.40347161
1910,31,85.30438948
1911,29.9,85.47675314
1912,29.8,85.64911681
1913,29.5,85.82148047
1914,29.9,85.99384414
1915,29.5,86.16620781
1916,29.1,86.33857147
1917,28.5,86.51093514
1918,28.2,86.6832988
1919,26.1,86.85566247
1920,27.7,87.02802613
1921,28.1,87.16829877
1922,26.2,87.3085714
1923,26,87.44884403
1924,26.1,87.58911666
1925,25.1,87.72938929
1926,24.2,87.86966192
1927,23.5,88.00993456
1928,22.2,88.15020719
1929,21.2,88.29047982
1930,21.3,88.43075245
1931,20.2,88.70706964
1932,19.5,88.98338683
1933,18.4,89.25970401
1934,19,89.5360212
1935,18.7,89.81233839
1936,18.4,90.08865557
1937,18.7,90.36497276
1938,19.2,90.64128995
1939,18.8,90.91760714
1940,19.4,91.19392432
1941,20.3,91.4008805
1942,22.2,91.60783668
1943,22.7,91.81479286
1944,21.2,92.02174904
1945,20.4,92.22870522
1946,24.1,92.4356614
1947,26.6,92.64261758
1948,24.9,92.84957375
1949,24.5,93.05652993
1950,24.1,93.26348611
1951,24.9,93.41885485
1952,25.1,93.57422359
1953,25.1,93.72959232
1954,25.3,93.88496106
1955,25,94.0403298
1956,25.2,94.19569853
1957,25.3,94.35106727
1958,24.5,94.50643601
1959,24,94.66180474
1960,23.7,94.81717348
1961,23.3,94.86545613
1962,22.4,94.91373878
1963,21.7,94.96202144
1964,21.1,95.01030409
1965,19.5,95.05858674
1966,18.4,95.10686939
1967,17.8,95.15515204
1968,17.6,95.2034347
1969,17.9,95.25171735
1970,18.4,95.3
1971,17.2,95.15
1972,15.6,95
1973,14.8,94.85
1974,14.8,94.7
1975,14.6,94.55
1976,14.6,94.4
1977,15.1,94.25
1978,15,94.1
1979,15.6,93.95
1980,15.9,93.8
1981,15.8,93.63
1982,15.9,93.46
1983,15.6,93.29
1984,15.6,93.12
1985,15.8,92.95
1986,15.6,92.78
1987,15.7,92.61
1988,16,92.44
1989,16.4,92.27
1990,16.7,92.1
1991,16.2,91.78
1992,15.8,91.46
1993,15.4,91.14
1994,15,90.82
1995,14.6,90.5
1996,14.4,90.18
1997,14.2,89.86
1998,14.3,89.54
1999,14.2,89.22
2000,14.4,88.9
2001,14.1,88.72
2002,13.9,88.54
2003,14.1,88.36
2004,14,88.18
2005,14,88
2006,14.3,87.82
2007,14.3,87.64
2008,14,87.46
2009,13.5,87.28
2010,13,87.1
2011,12.7,86.98
2012,12.6,86.86
2013,12.4,86.74
2014,12.5,86.62
2015,12.4,86.5
2016,12.2,86.45
2017,11.8,86.4
2018,11.6,86.35
2019,11.4,86.3
2020,11,86.35
